Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 27.,,,,,,,,,,
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF RESIDENCE: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kiribati,876,790,963,936,954,853,764,250,33,170
"Korea, North",331,396,457,720,266,542,762,363,130,579
"Korea, South","1,560,177","1,705,540","1,831,790","2,092,969","2,428,027","2,477,591","2,286,965","1,089,939","155,881","744,523"
Kosovo,NA,"4,393","4,707","5,171","5,031","5,157","6,869","3,146","2,074","4,225"
Kuwait,"52,637","66,622","76,456","79,500","57,346","57,126","62,122","23,336","17,222","36,455"
Kyrgyzstan,"4,219","3,808","3,292","3,164","1,819","3,394","4,574","2,403","2,076","4,823"
Laos,"2,619","2,594","2,355","2,233","2,398","2,125","2,663",984,87,"1,247"
Latvia,"20,032","21,211","20,950","21,836","24,648","24,636","24,487","12,092","3,072","15,607"
Lebanon,"33,558","41,600","43,531","44,590","38,523","35,076","39,673","17,225","12,981","21,593"
Lesotho,498,565,560,685,562,597,651,223,93,289
Liberia,"3,868","4,962","5,245","4,296","3,645","3,508","4,118","1,337",685,"1,142"
Libya,"3,653","3,733","2,499","1,783","1,242",774,746,355,371,"1,104"
Liechtenstein,"2,483","2,606","2,268","2,260","2,209","2,350","2,506",949,139,"1,411"
Lithuania,"23,297","25,897","25,725","26,694","20,173","38,265","38,750","17,050","3,358","26,195"
Luxembourg,"20,810","21,293","20,080","20,670","18,447","23,200","26,480","9,453","1,129","16,861"
Macau,"3,524","3,446","4,102","4,727","4,485","4,568","4,535","1,278",228,480
Madagascar,"1,096","1,604","1,642","1,870","1,523","1,561","2,090",893,216,"1,418"
Malawi,"1,974","2,093","2,682","2,698","2,539","2,259","2,662","1,054",436,"1,720"
Malaysia,"84,886","96,827","94,222","90,784","81,337","83,069","94,911","38,193","7,351","33,481"
Maldives,383,529,575,459,559,437,532,272,213,507
Mali,"3,173","3,760","3,762","4,171","3,510","3,561","4,067","1,743","1,361","2,219"
Malta,"6,228","6,494","5,934","6,605","7,042","8,053","9,325","3,683",646,"5,842"
Marshall Islands,476,420,345,268,265,303,356,158,32,77
Martinique,"5,930","6,207","7,277","7,173","3,920","6,467","10,197","2,044",437,"3,107"
Mauritania,"1,126","1,801","1,800","1,619","1,116",846,"1,428",584,279,679
Mauritius,"5,016","6,103","5,924","6,217","5,643","5,993","7,404","3,115","1,011","4,008"
Mayotte,NA,95,55,83,40,48,84,46,14,53
Mexico,"17,882,766","19,860,016","20,165,672","19,547,504","19,140,031","20,990,914","21,387,861","10,992,379","4,521,456","13,564,837"
"Micronesia, Federated States","1,800","1,732","1,377","1,535",830,"1,503","1,409",531,117,340
Moldova,"11,261","11,655","11,538","11,986","10,777","10,132","11,420","5,657","4,448","6,416"
Monaco,"4,483","4,230","3,697","4,165","2,974","3,942","5,391","2,411",606,"3,204"
Mongolia,"10,962","13,359","14,135","14,731","13,578","13,561","17,781","7,862","3,140","11,016"
Montserrat,292,343,301,323,210,261,444,181,102,200
Morocco,"25,940","29,986","32,602","33,764","27,740","25,738","33,178","14,539","8,000","22,947"
Mozambique,"2,824","3,488","2,996","2,874","2,157","2,495","2,853","1,249",476,"1,577"
Namibia,"2,448","2,705","2,752","2,728","2,271","2,331","3,010","1,375",554,"1,648"
Nauru,174,209,199,254,168,182,200,61,19,70
Nepal,"15,563","20,392","26,484","32,669","30,462","25,977","33,691","15,522","14,758","26,709"
Netherlands,"709,959","725,031","649,631","694,214","782,564","832,087","820,626","323,305","39,228","470,336"
Netherlands Antilles (former),"6,995","3,928","3,968","2,498","1,609","2,325","2,252",733,X,X
New Caledonia,797,989,784,718,596,907,"1,289",640,41,489
New Zealand,"280,309","303,021","297,495","319,768","344,022","361,814","354,823","128,285","10,890","107,360"
Nicaragua,"58,197","65,022","68,506","78,486","70,525","67,418","75,838","32,964","33,517","56,671"
Niger,"1,508","1,524","1,807","1,917","1,674","1,688","1,693",691,364,"1,004"
Nigeria,"141,857","181,833","200,918","197,749","148,116","158,712","163,045","56,788","37,803","65,288"
Niue,14,22,17,16,25,31,37,14,D,D
Norfolk Island,NA,53,50,74,37,40,50,15,D,23
North Macedonia,"8,285","8,622","9,078","9,479","9,560","9,244","10,703","4,419","2,957","6,195"
Northern Mariana Islands,76,164,182,286,601,787,517,776,73,440
Norway,"319,158","340,341","313,012","289,543","309,685","308,273","295,312","111,406","10,088","127,907"
